top_traffic_accident_offense,lon,lat,district_id,datetime,date,time,injured,road_description_binned,light_condition_binned,road_condition_binned,tu1_vehicle_type_binned,tu2_vehicle_type_binned,tu1_human_fac_binned,tu2_human_fac_binned,tu1_driver_action_binned,tu2_driver_action_binned,tu1_vehicle_size,tu2_vehicle_size,vehicle_type_match,vehicle_size_diff,abs_vehicle_size_diff,vehicle_size_relation,smaller_vehicle_action,larger_vehicle_action,day_of_week,weekend,weekday,month,hour,is_night,morning_rush,evening_rush,incident_address_clean,is_highway,direction_conflict,index_right,speed_limit,road_name,distance_to_road_m,road_join_quality,road_match_ok,speed_limit_missing,speed_limit_category
TRAF - ACCIDENT               ,-104.96017145,39.72560702,2,2023-06-30 15:56:59.999997318,2023-06-30,15:56:59,False,intersection,daylight,dry,passenger,unknown,no_apparent,no_apparent,no_action,no_action,2,,unknown,,,unknown,unknown,unknown,4,False,True,6,15,False,False,False,e 6th ave / n york st,False,same_direction,29375,30,E 6TH AVE,0.07510801547833067,excellent,True,False,medium
TRAF - ACCIDENT - HIT & RUN   ,-104.98790041,39.75119061,6,2020-06-15 06:59:59.999986584,2020-06-15,06:59:59,False,intersection,unknown,unknown,passenger,other,unknown_or_not_observed,unknown_or_not_observed,careless_or_loss_of_control,other_or_invalid,2,,different,,,unknown,unknown,unknown,0,False,True,6,6,False,False,False,21st st / champa st,False,unknown,13211,25,CHAMPA ST,0.07724276221143346,excellent,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,-105.05853584,39.67673097,4,2023-01-23 21:09:00.000008043,2023-01-23,21:09:00,False,parking_lat,dark_lighted,dry,unknown,suv,unknown,no_apparent,other_or_invalid,no_action,,3,unknown,,,unknown,unknown,unknown,0,False,True,1,21,True,False,False,2133 s eaton st,False,unknown,10212,25,S EATON ST,22.816529621652393,good,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,-104.97305489,39.75315656,2,2020-02-29 06:59:59.999986584,2020-02-29,06:59:59,False,non_intersection,dark_lighted,dry,other,pickup_or_utility_van,aggressive,no_apparent,reckless_or_speed_related,no_action,,3,different,,,unknown,unknown,unknown,5,True,False,2,6,False,False,False,1200 block e 25th ave,False,same_direction,29879,25,E 25TH AVE,7.750667020967755,excellent,True,False,low
TRAF - ACCIDENT               ,-104.89755944,39.74015783,2,2019-10-01 16:50:00.000008943,2019-10-01,16:50:00,False,non_intersection,daylight,dry,suv,suv,inexperience_or_unfamiliar,no_apparent,careless_or_loss_of_control,no_action,3,3,same,0,0,same_size,same_size,same_size,1,False,True,10,16,False,False,True,e colfax ave / n spruce st,False,opposite_direction,2350,35,E COLFAX AVE,0.047534701605469534,excellent,True,False,medium
TRAF - ACCIDENT - HIT & RUN   ,-105.0051828,39.76815602,1,2016-10-21 12:18:00.000016096,2016-10-21,12:18:00,False,intersection,daylight,dry,hit_and_run,passenger,no_apparent,unknown_or_not_observed,other_or_invalid,other_or_invalid,,2,different,,,unknown,unknown,unknown,4,False,True,10,12,False,False,False,3700 block n osage st,False,same_direction,8205,25,N OSAGE ST,8.206934731716618,excellent,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,-104.90395767,39.7672368,2,2021-03-17 07:53:59.999994637,2021-03-17,07:53:59,False,parking_lat,daylight,wet,hit_and_run,heavy_or_special_vehicle,no_apparent,unknown_or_not_observed,other_or_invalid,no_action,,5,different,,,unknown,unknown,unknown,2,False,True,3,7,False,True,False,7260 e 36th ave,False,unknown,23849,25,E 36TH AVE,24.80973864541456,good,True,False,low
TRAF - ACCIDENT               ,-105.02974175,39.69674521,4,2022-12-23 12:30:00.000013415,2022-12-23,12:30:00,False,intersection,daylight,winter_condition,passenger,pickup_or_utility_van,unknown_or_not_observed,no_apparent,other_or_invalid,other_or_invalid,2,3,different,-1,1,vehicle_2_larger,other_or_invalid,other_or_invalid,4,False,True,12,12,False,False,False,s irving st / w mississippi ave,False,angled_conflict,2499,25,W MISSISSIPPI AVE,0.003045370556039471,excellent,True,False,low
TRAF - ACCIDENT               ,-104.98364394,39.76655089,2,2020-11-24 09:45:59.999996427,2020-11-24,09:45:59,False,intersection,daylight,winter_condition,suv,suv,inexperience_or_unfamiliar,no_apparent,careless_or_loss_of_control,no_action,3,3,same,0,0,same_size,same_size,same_size,1,False,True,11,9,False,False,False,31st st / n brighton blvd,False,crossing_or_perpendicular,8519,30,N BRIGHTON BLVD,0.046785807087215726,excellent,True,False,medium
TRAF - ACCIDENT - HIT & RUN   ,-104.89345028,39.63553667,3,2016-09-30 07:44:59.999986584,2016-09-30,07:44:59,False,non_intersection,daylight,dry,hit_and_run,passenger,no_apparent,distracted,reckless_or_speed_related,other_or_invalid,,2,different,,,unknown,unknown,unknown,4,False,True,9,7,False,True,False,i225 hwynb / s tamarac st,True,same_direction,12338,55,INTERSTATE 225,0.17246198063459167,excellent,True,False,high
