top_traffic_accident_offense,first_occurrence_date,lon,lat,tu1_travel_direction,tu2_travel_direction,road_description,road_condition,light_condition,datetime,date,time,injured,tu1_vehicle_type_binned,tu2_vehicle_type_binned,tu1_driver_action_binned,tu2_driver_action_binned,tu1_human_factor_binned,tu2_human_factor_binned,vehicle_type_match,tu1_vehicle_size,tu2_vehicle_size,vehicle_size_diff,abs_vehicle_size_diff,vehicle_size_relation,smaller_vehicle_action,larger_vehicle_action,day_of_week,weekend,weekday,month,hour,is_night,morning_rush,evening_rush,same_driver_action,any_unknown_vehicle,any_aggressive_or_careless,any_failure_to_yield,any_unknown_human_factor,incident_address_clean,is_highway,index_right,speed_limit,road_name,distance_to_road_m,road_join_quality,road_match_ok,speed_limit_missing,speed_limit_category
TRAF - ACCIDENT               ,2457485.9125,-104.99047238,39.72565704,south,east,at intersection,dry,daylight,2016-04-07 09:54:00.000008043,2016-04-07,09:54:00,False,unknown,passenger_car_or_van,unknown,other,unknown,no_apparent,unknown,,2,,,unknown,unknown,unknown,3,False,True,4,9,False,False,False,False,True,False,False,True,n bannock st / w 6th ave,False,6936,30.0,N BANNOCK ST,0.0023755699533839084,excellent,True,False,medium
TRAF - ACCIDENT               ,2460944.048611111,-105.0532458,39.76660776,north,north,at intersection,dry,daylight,2025-09-25 13:09:59.999991056,2025-09-25,13:09:59,False,passenger_car_or_van,suv,aggressive_or_careless,no_action,fatigue_or_sleep,no_apparent,different,2,3,-1,1,vehicle_2_larger,aggressive_or_careless,no_action,3,False,True,9,13,False,False,False,False,False,True,False,False,n sheridan blvd / w 36th ave,False,14463,35.0,N SHERIDAN BLVD,0.24680284776403247,excellent,True,False,medium
TRAF - ACCIDENT               ,2457586.472222222,-104.86610891,39.66751325,south,west,at intersection,dry,dark-lighted,2016-07-16 23:19:59.999982121,2016-07-16,23:19:59,False,passenger_car_or_van,passenger_car_or_van,failure_to_obey,other,aggressive_or_evading,no_apparent,same,2,2,0,0,same_size,same_size,same_size,5,True,False,7,23,True,False,False,False,False,False,False,False,s havana st / e yale ave,False,24666,25.0,E YALE AVE,0.18967969600735463,excellent,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,2457836.4381944444,-104.99857646,39.75774831,northwest,northwest,at intersection,wet,dark-lighted,2017-03-23 22:30:59.999996427,2017-03-23,22:30:59,False,unknown,bus,other,no_action,no_apparent,no_apparent,unknown,,4,,,unknown,unknown,unknown,3,False,True,3,22,True,False,False,False,True,False,False,False,20th st / chestnut pl,False,359,25.0,CHESTNUT PL,0.028807880196418247,excellent,True,False,low
TRAF - ACCIDENT               ,2457113.2291666665,-105.0132293,39.72567654,north,north,non intersection,dry,daylight,2015-03-31 17:29:59.999986584,2015-03-31,17:29:59,False,heavy_truck,passenger_car_or_van,lane_or_position,lane_or_position,no_apparent,no_apparent,different,,2,,,unknown,unknown,unknown,1,False,True,3,17,False,False,True,True,False,False,False,False,i25 hwynb / w 6th ave,True,13394,55.0,W 6TH AVENUE FWY,0.16968516251650126,excellent,True,False,high
TRAF - ACCIDENT               ,2458516.9604166667,-104.68048876,39.83694906,north,other,at intersection,dry,daylight,2019-02-02 11:03:00.000002681,2019-02-02,11:03:00,False,passenger_car_or_van,other,aggressive_or_careless,other,phone_or_device,other,different,2,,,,unknown,unknown,unknown,5,True,False,2,11,False,False,False,False,False,True,False,False,26296 e 78th ave,False,24124,25.0,E 78TH AVE,103.92751198061778,bad,False,False,low
TRAF - ACCIDENT               ,2456941.1458333335,-105.02572392,39.67601842,south,east,parking lot,dry,daylight,2014-10-10 15:30:00.000013415,2014-10-10,15:30:00,False,suv,pickup_or_utility_van,aggressive_or_careless,other,inexperience_or_unfamiliar,no_apparent,different,3,3,0,0,same_size,same_size,same_size,4,False,True,10,15,False,False,False,False,False,True,False,False,2285 s federal blvd,False,15308,40.0,S FEDERAL BLVD,57.42571934811993,weak,False,False,medium_high
TRAF - ACCIDENT               ,2458592.1847222224,-104.95932897,39.70022285,west,north,at intersection,dry,daylight,2019-04-18 16:26:00.000014305,2019-04-18,16:26:00,False,passenger_car_or_van,suv,failure_to_yield,no_action,no_apparent,no_apparent,different,2,3,-1,1,vehicle_2_larger,failure_to_yield,no_action,3,False,True,4,16,False,False,True,False,False,False,True,False,e kentucky ave / s university blvd,False,22083,30.0,S UNIVERSITY BLVD,0.0772259633075549,excellent,True,False,medium
TRAF - ACCIDENT               ,2460996.8743055556,-104.84703712,39.77400663,east,east,non-intersection,dry,daylight,2025-11-17 08:59:00.000003572,2025-11-17,08:59:00,False,pickup_or_utility_van,suv,lane_or_position,no_action,distracted,no_apparent,different,3,3,0,0,same_size,same_size,same_size,0,False,True,11,8,False,True,False,False,False,False,False,False,i70 hwyeb / n peoria st,True,1916,55.0,INTERSTATE 70,0.17516728984357247,excellent,True,False,high
TRAF - ACCIDENT - HIT & RUN   ,2456976.75,-104.90330332,39.78518465,,,parking lot,dry,dark-lighted,2014-11-15 06:00:00.000000000,2014-11-15,06:00:00,False,unknown,heavy_truck,other,other,no_apparent,no_apparent,unknown,,,,,unknown,unknown,unknown,5,True,False,11,6,False,False,False,True,True,False,False,False,7120 e 49th ave,False,20302,25.0,E 49TH AVE,7.843882112008079,excellent,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,2458829.0256944443,-104.97977723,39.73441984,north,north,non intersection,dry,,2019-12-11 12:36:59.999988375,2019-12-11,12:36:59,False,other,other,aggressive_or_careless,no_action,other,other,same,,,,,unknown,unknown,unknown,2,False,True,12,12,False,False,False,False,False,True,False,False,1100 block n pearl st,False,13456,25.0,N PEARL ST,7.462233165132859,excellent,True,False,low
TRAF - ACCIDENT               ,2458697.047222222,-105.01269596,39.75536709,other,other,,,,2019-08-01 13:07:59.999998209,2019-08-01,13:07:59,False,other,other,other,other,other,other,same,,,,,unknown,unknown,unknown,3,False,True,8,13,False,False,False,True,False,False,False,False,i25 hwysb / n speer blvd,True,5738,55.0,INTERSTATE 25,0.029676447821187456,excellent,True,False,high
TRAF - ACCIDENT               ,2458661.872916667,-104.93273119,39.72923346,north,east,at intersection,dry,daylight,2019-06-27 08:57:00.000010725,2019-06-27,08:57:00,False,passenger_car_or_van,passenger_car_or_van,failure_to_yield,no_action,no_apparent,no_apparent,same,2,2,0,0,same_size,same_size,same_size,3,False,True,6,8,False,True,False,False,False,False,True,False,e 8th ave / n dexter st,False,473,30.0,E 8TH AVE,0.13513381920124456,excellent,True,False,medium
TRAF - ACCIDENT - HIT & RUN   ,2457383.1770833335,-104.95286296,39.71908613,east,west,non intersection,wet,daylight,2015-12-26 16:15:00.000013415,2015-12-26,16:15:00,False,unknown,heavy_truck,turning_or_backing,other,no_apparent,no_apparent,unknown,,,,,unknown,unknown,unknown,5,True,False,12,16,False,False,False,False,True,False,False,False,2940 e 2nd ave,False,4835,25.0,E 2ND AVE,35.941961825359996,okay,True,False,low
TRAF - ACCIDENT               ,2457091.75,-105.0132293,39.72567654,northeast,north,intersection related,dry,dawnordusk,2015-03-10 06:00:00.000000000,2015-03-10,06:00:00,False,pickup_or_utility_van,heavy_truck,aggressive_or_careless,other,aggressive_or_evading,no_apparent,different,3,,,,unknown,unknown,unknown,1,False,True,3,6,False,False,False,False,False,True,False,False,i25 hwynb / w 6th ave,True,13394,55.0,W 6TH AVENUE FWY,0.16968516251650126,excellent,True,False,high
TRAF - ACCIDENT               ,2456490.7395833335,-104.89695392,39.63770983,southeast,southeast,intersection related,dry,daylight,2013-07-17 05:45:00.000013415,2013-07-17,05:45:00,False,passenger_car_or_van,suv,aggressive_or_careless,other,no_apparent,no_apparent,different,2,3,-1,1,vehicle_2_larger,aggressive_or_careless,other,2,False,True,7,5,True,False,False,False,False,True,False,False,8000 block e quincy ave,False,3008,25.0,PRIVATE RD,11.607335517084582,good,True,False,low
TRAF - ACCIDENT               ,2457505.011805556,-104.89320279,39.78543226,north,south,at intersection,dry,daylight,2016-04-26 12:17:00.000019668,2016-04-26,12:17:00,False,passenger_car_or_van,suv,failure_to_yield,other,no_apparent,no_apparent,different,2,3,-1,1,vehicle_2_larger,failure_to_yield,other,1,False,True,4,12,False,False,False,False,False,False,True,False,e northfield blvd / n uinta st,False,104,25.0,PRIVATE RD,0.174439271394307,excellent,True,False,low
TRAF - ACCIDENT               ,2461076.9375,-105.02876728,39.71114588,east,south,at intersection,dry,daylight,2026-02-05 10:30:00.000000000,2026-02-05,10:30:00,False,suv,suv,failure_to_obey,no_action,distracted,no_apparent,same,3,3,0,0,same_size,same_size,same_size,3,False,True,2,10,False,False,False,False,False,False,False,False,w alameda ave / s hooker st,False,2659,25.0,S HOOKER ST,0.11388805576412495,excellent,True,False,low
