model,split,recall,accuracy,precision,f1,roc_auc,pr_auc,threshold
dummy_no_injury,train,0.0,0.9766893674766919,0.0,0.0,0.5,0.02331063252330812,0.5
dummy_no_injury,validation,0.0,0.9770872377728069,0.0,0.0,0.5,0.022912762227193035,0.5
logistic_balanced,train,0.7539887882708064,0.7708943784082628,0.0729453483521068,0.1330214158012857,0.8441509662410851,0.1820617398937074,0.48
logistic_balanced,validation,0.7044854881266491,0.8043649114321988,0.07873783544677086,0.14164456233421752,0.8408125480172879,0.26581472759922786,0.48
tuned_tree,train,0.8430357912893489,0.5758349458447466,0.04464693523339728,0.08480274144923765,0.7838868611218888,0.13553277920061543,0.5
tuned_tree,validation,0.8364116094986808,0.517622876488725,0.03849890697109546,0.07360965981655637,0.7367753899420088,0.1730302843072196,0.5
naive_bayes,train,0.5597240189736955,0.8525519563742366,0.08684888427954902,0.15036635871296591,0.7879443077538626,0.1125399205541571,0.1
naive_bayes,validation,0.503957783641161,0.8400943111057373,0.07212990936555891,0.1261975553353155,0.745919612080717,0.1469262877850974,0.1
